INSTNM,NPT4_COMBINED
Clinton Technical School,13160
Cloud County Community College,11477
Clover Park Technical College,3912
Clovis Community College,3318
Clovis Community College,7118
Cloyd's Barber School 2 Inc,3065
Cloyd's Beauty School 1 Inc,5902
Cloyd's Beauty School 3 Inc,4693
Coachella Valley Beauty College,16812
Coachella Valley Beauty College-Hemet,15776
Coahoma Community College,560
Coalinga College,8626
Coastal Alabama Community College,9514
Coastal Bend College,3886
Coastal Carolina Community College,7779
Coastal Carolina University,13742
Coastal Pines Technical College,124
Coastline Beauty College,14231
Coastline Community College,9605
Coba Academy,16761
Cochise County Community College District,7420
Coconino Community College,12455
Coe College,19155
Coffeyville Community College,5481
Coker University,18045
Colby College,23939
Colby Community College,8021
Colby-Sawyer College,25857
Colegio Educativo Tecnologico Industrial Inc,10161
Colegio Mayor de Tecnologia Inc,5880
Colegio Tecnico de Electricidad Galloza,11772
Colegio Universitario de San Juan,200
Colegio de Cinematografia Artes y Television,2249
Colgate University,29107
Collectiv Academy,19996
Collectiv Hair Dressing Academy-Collectiv Academy-Dallas,26884
College Unbound,19116
College for Creative Studies,33342
College of Alameda,9280
College of Biblical Studies-Houston,16267
College of Central Florida,12310
College of Charleston,19518
College of Coastal Georgia,12905
College of Court Reporting Inc,41410
College of DuPage,6182
College of Eastern Idaho,8728
College of Hair Design Careers,11330
College of Hair Design-Downtown,14554
College of Hair Design-East Campus,14649
College of Health Care Professions,28520
College of Lake County,6212
College of Marin,15517
College of Menominee Nation,10498
College of Micronesia-FSM,7012
College of Our Lady of the Elms,21436
College of Saint Benedict,28065
College of Saint Mary,14986
College of San Mateo,1504
College of Southern Idaho,7005
College of Southern Maryland,9867
College of Southern Nevada,6329
College of Staten Island CUNY,5115
College of Western Idaho,7697
College of Wilmington,14063
College of the Albemarle,4751
College of the Atlantic,24028
College of the Canyons,2114
College of the Desert,11812
College of the Holy Cross,36868
College of the Mainland,1975
College of the Marshall Islands,11050
College of the Muscogee Nation,13615
College of the Ozarks,7669
College of the Redwoods,3214
College of the Sequoias,29
College of the Siskiyous,7241
Collin County Community College District,8986
Collins Career Technical Center,7995
Colorado Academy of Veterinary Technology,24273
Colorado Christian University,25458
Colorado College,31678
Colorado Media School,30582
Colorado Mesa University,15331
Colorado Mountain College,6342
Colorado Northwestern Community College,12316
Colorado School of Mines,29240
Colorado School of Trades,22635
Colorado State University Global,14099
Colorado State University Pueblo,12948
Colorado State University-Fort Collins,20332
Colorado Technical University-Colorado Springs,14954
Columbia Basin College,8302
Columbia Central University-Caguas,4181
Columbia College,15468
Columbia College,24051
Columbia College,23650
Columbia College,9921
Columbia College Chicago,26788
Columbia Gorge Community College,10550
Columbia International University,21660
Columbia Southern University,14975
Columbia State Community College,4576
Columbia University in the City of New York,20148
Columbia-Greene Community College,5576
Columbiana County Career and Technical Center,11517
Columbus College of Art & Design,30139
Columbus State Community College,7233
Columbus State University,11889
Columbus Technical College,4959
Commercial Divers International,34714
Commercial Diving Technologies Institute,36910
Commonwealth Institute of Funeral Service,42938
Commonwealth Technical Institute,12882
Commonwealth University of Pennsylvania,18877
Community Care College,24958
Community Christian College,20033
Community College of Allegheny County,8166
Community College of Aurora,7466
Community College of Baltimore County,6643
Community College of Beaver County,6980
Community College of Denver,9431
Community College of Philadelphia,13306
Community College of Rhode Island,5240
Community College of Vermont,10599
Compass Career College,12405
Compton College,11103
Compu-Med Vocational Careers Corp,19291
Conception Seminary College,33216
Concord University,9983
Concorde Career College-Aurora,16547
Concorde Career College-Broadway,24417
Concorde Career College-Dallas,22977
Concorde Career College-Garden Grove,22610
Concorde Career College-Grand Prairie,24729
Concorde Career College-Kansas City,28094
Concorde Career College-Memphis,21470
Concorde Career College-North Hollywood,23584
Concorde Career College-Portland,22887
Concorde Career College-San Antonio,26411
Concorde Career College-San Bernardino,23161
Concorde Career College-San Diego,24477
Concorde Career College-Southaven,22064
Concorde Career Institute-Jacksonville,27104
Concorde Career Institute-Miramar,25614
Concorde Career Institute-Orlando,32657
Concorde Career Institute-Tampa,24449
Concordia College at Moorhead,25651
Concordia University Ann Arbor,26409
Concordia University Texas,22240
Concordia University-Chicago,16774
Concordia University-Irvine,28046
Concordia University-Nebraska,24016
Concordia University-Saint Paul,17566
Concordia University-Wisconsin,26067
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,8602
Connecticut College,33998
Connecticut State Community College,8865
Connors State College,11716
Conservatory of Recording Arts and Sciences,22153
Continental School of Beauty Culture-Mattydale,15244
Continental School of Beauty Culture-Rochester,15659
Continental School of Beauty Culture-West Seneca,16000
Contra Costa College,6522
Converse University,19712
Copiah-Lincoln Community College,3472
Copper Mountain Community College,7962
Coppin State University,6007
Corban University,25525
Corinth Academy of Cosmetology,21666
Cornell College,25079
Cornell University,32337
Cornerstone University,22384
Cornish College of the Arts,39060
Cortiva Institute,34368
Cortiva Institute,26629
Cortiva Institute,32388
Cortiva Institute,29535
Cortiva Institute,28383
Cortiva Institute,29879
Cortiva Institute-Arlington,33971
Cosmetology & Spa Academy,14887
Cosmetology Academy of Texarkana,15206
Cosmetology Concepts Niles,11688
Cosmetology School of Arts & Sciences,21170
Cosmetology Training Center,11376
Cossatot Community College of the University of Arkansas,5200
Cosumnes River College,4648
Cottey College,18154
County College of Morris,9259
Covenant College,24832
Cowley County Community College,6752
Cozmo Beauty School,20231
Crafton Hills College,10655
Crave Beauty Academy,18156
Craven Community College,4402
Crawford County Career and Technical Center Practical Nursing Program,11239
Creative Hair School of Cosmetology,13356
Creative Images Institute of Cosmetology-North Dayton,13528
Creative Images Institute of Cosmetology-South Dayton,11797
Creative Touch Cosmetology School,11637
Creighton University,32380
Crescent City Bartending School,19078
Crevier's Academy of Cosmetology Arts,11589
Criswell College,12929
Crowder College,5161
Crowley's Ridge College,17236
Crown College,27324
Crown Cutz Academy Bristol,11149
Cuesta College,12898
Culinary Institute Inc,26470
Culinary Institute of America,31864
Culinary Tech Center,15763
Culpeper Cosmetology Training Center,15211
Culver-Stockton College,22080
Cumberland University,18292
Curry College,29504
Cutting Edge Academy,30484
Cutting Edge Barber Academy,20968
Cuyahoga Community College District,4538
Cuyahoga Valley Career Center,20438
Cuyamaca College,6187
CyberTex Institute of Technology,27877
Cypress College,4683
D A Dorsey Technical College,3103
D&S School of Cosmetology,10082
D'Mart Institute,8080
D'Youville  University,19585
DLP Conemaugh Memorial Medical Center,21861
DSDT,25919
Daemen University,18244
Dakota College at Bottineau,12515
Dakota County Technical College,11140
Dakota State University,19725
Dakota Wesleyan University,19300
Dallas Baptist University,30092
Dallas Barber & Stylist College,20461
Dallas Christian College,22456
Dallas College,4146
Dallas Institute of Funeral Service,19845
Dalton Institute of Esthetics and Cosmetology,8607
Dalton State College,4694
Danville Area Community College,2943
Danville Community College,7158
Dartmouth College,28619
Davenport University,19988
David Pressley School of Cosmetology,18565
Davidson College,18127
Davidson-Davie Community College,7258
Davis & Elkins College,19428
Davis College,14320
Davis College,22263
Davis Technical College,10885
Dawn Career Institute LLC,15731
Dawson Community College,10094
Dayton Barber College,14478
Dayton School of Medical Massage,30710
Daytona State College,7201
De Anza College,4667
DeHart Technical School,25450
DePaul University,29141
DePauw University,24546
DeSales University,30465
DeVry College of New York,34530
DeVry University-California,33294
DeVry University-Georgia,30243
DeVry University-Illinois,30878
DeVry University-Virginia,22341
Dean College,30236
Debutantes School of Cosmetology and Nail Technology,8331
Defiance College,23722
Del Mar College,4250
Del-Mar-Va Beauty Academy,25617
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,16331
Delaware College of Art and Design,31763
Delaware County Community College,7395
Delaware County Technical School-Practical Nursing Program,20622
Delaware Learning Institute of Cosmetology,15874
Delaware State University,15745
Delaware Technical Community College-Terry,8033
Delaware Valley University,27243
Delgado Community College,11926
Delta College,4550
Delta College Inc,22997
Delta College of Arts & Technology,19590
Delta College of Arts & Technology-Lafayette Campus,22230
Delta College-Slidell Campus,19835
Delta State University,13778
Delta Technical College-Mississippi,16771
Deluxe Barber College,19529
Denham Springs Beauty School,10597
Denison University,38111
Denmark College,14312
